"","side","start","end","duration_sec","date","startT","endT"
"173","right","2019-03-29 14:30:00.000-0400","2019-03-29 14:35:17.000-0400","317","2019-03-29","14:30:00","14:35:17"
"174","right","2019-03-29 16:20:00.000-0400","2019-03-29 16:40:41.000-0400","1241","2019-03-29","16:20:00","16:40:41"
"175","left","2019-03-29 17:00:00.000-0400","2019-03-29 17:15:36.000-0400","936","2019-03-29","17:00:00","17:15:36"
"176","left","2019-03-29 20:25:00.000-0400","2019-03-29 20:40:06.000-0400","906","2019-03-29","20:25:00","20:40:06"
"177","right","2019-03-29 22:23:00.000-0400","2019-03-29 22:50:19.000-0400","1639","2019-03-29","22:23:00","22:50:19"
"178","left","2019-03-29 23:20:00.000-0400","2019-03-29 23:35:23.000-0400","923","2019-03-29","23:20:00","23:35:23"
"179","right","2019-03-30 01:49:00.000-0400","2019-03-30 02:00:27.000-0400","687","2019-03-30","01:49:00","02:00:27"
"180","left","2019-03-30 02:20:00.000-0400","2019-03-30 02:35:15.000-0400","915","2019-03-30","02:20:00","02:35:15"
"181","right","2019-03-30 05:44:00.000-0400","2019-03-30 05:55:03.000-0400","663","2019-03-30","05:44:00","05:55:03"
"182","left","2019-03-30 05:59:00.000-0400","2019-03-30 06:10:36.000-0400","696","2019-03-30","05:59:00","06:10:36"
"183","right","2019-03-30 06:29:00.000-0400","2019-03-30 06:35:24.000-0400","384","2019-03-30","06:29:00","06:35:24"
"184","left","2019-03-30 08:45:00.000-0400","2019-03-30 08:55:11.000-0400","611","2019-03-30","08:45:00","08:55:11"
"185","right","2019-03-30 09:10:00.000-0400","2019-03-30 09:30:44.000-0400","1244","2019-03-30","09:10:00","09:30:44"
"186","left","2019-03-30 11:35:00.000-0400","2019-03-30 11:45:37.000-0400","637","2019-03-30","11:35:00","11:45:37"
"187","right","2019-03-30 11:51:00.000-0400","2019-03-30 12:10:56.000-0400","1196","2019-03-30","11:51:00","12:10:56"
"188","left","2019-03-30 13:00:00.000-0400","2019-03-30 13:10:42.000-0400","642","2019-03-30","13:00:00","13:10:42"
"189","right","2019-03-30 13:20:00.000-0400","2019-03-30 13:25:02.000-0400","302","2019-03-30","13:20:00","13:25:02"
"190","right","2019-03-30 13:55:00.000-0400","2019-03-30 14:10:04.000-0400","904","2019-03-30","13:55:00","14:10:04"
"191","left","2019-03-30 17:22:00.000-0400","2019-03-30 17:40:01.000-0400","1081","2019-03-30","17:22:00","17:40:01"
"192","right","2019-03-30 17:50:00.000-0400","2019-03-30 18:10:15.000-0400","1215","2019-03-30","17:50:00","18:10:15"
"193","left","2019-03-30 20:43:00.000-0400","2019-03-30 20:55:43.000-0400","763","2019-03-30","20:43:00","20:55:43"
"194","right","2019-03-30 21:06:00.000-0400","2019-03-30 21:35:30.000-0400","1770","2019-03-30","21:06:00","21:35:30"
"195","left","2019-03-30 23:20:00.000-0400","2019-03-30 23:40:12.000-0400","1212","2019-03-30","23:20:00","23:40:12"
"196","right","2019-03-30 23:51:00.000-0400","2019-03-31 00:00:54.000-0400","594","2019-03-30","23:51:00","00:00:54"
"197","right","2019-03-31 00:15:00.000-0400","2019-03-31 00:30:08.000-0400","908","2019-03-31","00:15:00","00:30:08"
"198","left","2019-03-31 02:33:00.000-0400","2019-03-31 02:50:37.000-0400","1057","2019-03-31","02:33:00","02:50:37"
"199","right","2019-03-31 03:05:00.000-0400","2019-03-31 03:15:05.000-0400","605","2019-03-31","03:05:00","03:15:05"
"200","right","2019-03-31 05:59:00.000-0400","2019-03-31 06:20:54.000-0400","1314","2019-03-31","05:59:00","06:20:54"
"201","left","2019-03-31 06:40:00.000-0400","2019-03-31 06:55:18.000-0400","918","2019-03-31","06:40:00","06:55:18"
"202","right","2019-03-31 09:11:00.000-0400","2019-03-31 09:25:13.000-0400","853","2019-03-31","09:11:00","09:25:13"
"203","left","2019-03-31 09:30:00.000-0400","2019-03-31 09:45:20.000-0400","920","2019-03-31","09:30:00","09:45:20"
"204","right","2019-03-31 11:27:00.000-0400","2019-03-31 11:35:56.000-0400","536","2019-03-31","11:27:00","11:35:56"
"205","left","2019-03-31 12:06:00.000-0400","2019-03-31 12:20:03.000-0400","843","2019-03-31","12:06:00","12:20:03"
"206","right","2019-03-31 12:53:00.000-0400","2019-03-31 13:05:02.000-0400","722","2019-03-31","12:53:00","13:05:02"
"207","left","2019-03-31 15:05:00.000-0400","2019-03-31 15:15:19.000-0400","619","2019-03-31","15:05:00","15:15:19"
"208","right","2019-03-31 15:34:00.000-0400","2019-03-31 15:50:26.000-0400","986","2019-03-31","15:34:00","15:50:26"
"209","left","2019-03-31 18:10:00.000-0400","2019-03-31 18:30:27.000-0400","1227","2019-03-31","18:10:00","18:30:27"
"210","right","2019-03-31 19:35:00.000-0400","2019-03-31 19:50:39.000-0400","939","2019-03-31","19:35:00","19:50:39"
"211","left","2019-03-31 21:05:00.000-0400","2019-03-31 21:20:34.000-0400","934","2019-03-31","21:05:00","21:20:34"
"212","right","2019-03-31 21:31:00.000-0400","2019-03-31 21:40:53.000-0400","593","2019-03-31","21:31:00","21:40:53"
"213","left","2019-03-31 22:10:00.000-0400","2019-03-31 22:20:51.000-0400","651","2019-03-31","22:10:00","22:20:51"
"214","right","2019-04-01 00:16:00.000-0400","2019-04-01 00:25:59.000-0400","599","2019-04-01","00:16:00","00:25:59"
"215","left","2019-04-01 00:43:00.000-0400","2019-04-01 00:55:01.000-0400","721","2019-04-01","00:43:00","00:55:01"
"216","right","2019-04-01 03:20:00.000-0400","2019-04-01 03:35:27.000-0400","927","2019-04-01","03:20:00","03:35:27"
"217","left","2019-04-01 03:50:00.000-0400","2019-04-01 04:05:36.000-0400","936","2019-04-01","03:50:00","04:05:36"
"218","right","2019-04-01 06:26:00.000-0400","2019-04-01 06:35:40.000-0400","580","2019-04-01","06:26:00","06:35:40"
"219","left","2019-04-01 06:51:00.000-0400","2019-04-01 07:10:35.000-0400","1175","2019-04-01","06:51:00","07:10:35"
"220","right","2019-04-01 08:55:00.000-0400","2019-04-01 09:00:30.000-0400","330","2019-04-01","08:55:00","09:00:30"
"221","left","2019-04-01 09:21:00.000-0400","2019-04-01 09:35:53.000-0400","893","2019-04-01","09:21:00","09:35:53"
"222","right","2019-04-01 11:45:00.000-0400","2019-04-01 12:00:31.000-0400","931","2019-04-01","11:45:00","12:00:31"
"223","left","2019-04-01 12:15:00.000-0400","2019-04-01 12:25:18.000-0400","618","2019-04-01","12:15:00","12:25:18"
"224","right","2019-04-01 13:17:00.000-0400","2019-04-01 13:30:29.000-0400","809","2019-04-01","13:17:00","13:30:29"
"225","left","2019-04-01 14:05:00.000-0400","2019-04-01 14:15:16.000-0400","616","2019-04-01","14:05:00","14:15:16"
"226","right","2019-04-01 14:45:00.000-0400","2019-04-01 15:00:38.000-0400","938","2019-04-01","14:45:00","15:00:38"
"227","left","2019-04-01 17:13:00.000-0400","2019-04-01 17:25:22.000-0400","742","2019-04-01","17:13:00","17:25:22"
"228","right","2019-04-01 18:17:00.000-0400","2019-04-01 18:30:50.000-0400","830","2019-04-01","18:17:00","18:30:50"
"229","left","2019-04-01 18:50:00.000-0400","2019-04-01 19:15:48.000-0400","1548","2019-04-01","18:50:00","19:15:48"
"230","right","2019-04-01 22:20:00.000-0400","2019-04-01 22:30:13.000-0400","613","2019-04-01","22:20:00","22:30:13"
"231","left","2019-04-01 22:33:00.000-0400","2019-04-01 22:50:27.000-0400","1047","2019-04-01","22:33:00","22:50:27"
"232","right","2019-04-02 01:25:00.000-0400","2019-04-02 01:40:54.000-0400","954","2019-04-02","01:25:00","01:40:54"
"233","left","2019-04-02 01:58:00.000-0400","2019-04-02 02:10:51.000-0400","771","2019-04-02","01:58:00","02:10:51"
"234","right","2019-04-02 04:58:00.000-0400","2019-04-02 05:10:12.000-0400","732","2019-04-02","04:58:00","05:10:12"
"235","left","2019-04-02 05:30:00.000-0400","2019-04-02 05:40:34.000-0400","634","2019-04-02","05:30:00","05:40:34"
"236","right","2019-04-02 08:20:00.000-0400","2019-04-02 08:35:05.000-0400","905","2019-04-02","08:20:00","08:35:05"
"237","left","2019-04-02 08:59:00.000-0400","2019-04-02 09:10:32.000-0400","692","2019-04-02","08:59:00","09:10:32"
"238","right","2019-04-02 11:46:00.000-0400","2019-04-02 11:55:50.000-0400","590","2019-04-02","11:46:00","11:55:50"
"239","left","2019-04-02 12:00:00.000-0400","2019-04-02 12:10:45.000-0400","645","2019-04-02","12:00:00","12:10:45"
"240","right","2019-04-02 12:35:00.000-0400","2019-04-02 12:50:53.000-0400","953","2019-04-02","12:35:00","12:50:53"
"241","left","2019-04-02 13:15:00.000-0400","2019-04-02 13:20:25.000-0400","325","2019-04-02","13:15:00","13:20:25"
"242","right","2019-04-02 15:30:00.000-0400","2019-04-02 15:55:26.000-0400","1526","2019-04-02","15:30:00","15:55:26"
"243","left","2019-04-02 16:21:00.000-0400","2019-04-02 16:35:52.000-0400","892","2019-04-02","16:21:00","16:35:52"
"244","left","2019-04-02 20:25:00.000-0400","2019-04-02 20:35:36.000-0400","636","2019-04-02","20:25:00","20:35:36"
"245","right","2019-04-02 21:02:00.000-0400","2019-04-02 21:25:56.000-0400","1436","2019-04-02","21:02:00","21:25:56"
"246","left","2019-04-02 22:37:00.000-0400","2019-04-02 22:50:11.000-0400","791","2019-04-02","22:37:00","22:50:11"
"247","right","2019-04-02 23:07:00.000-0400","2019-04-02 23:15:56.000-0400","536","2019-04-02","23:07:00","23:15:56"
"248","left","2019-04-03 01:50:00.000-0400","2019-04-03 02:05:53.000-0400","953","2019-04-03","01:50:00","02:05:53"
"249","right","2019-04-03 02:25:00.000-0400","2019-04-03 02:45:28.000-0400","1228","2019-04-03","02:25:00","02:45:28"
"250","left","2019-04-03 03:30:00.000-0400","2019-04-03 03:40:18.000-0400","618","2019-04-03","03:30:00","03:40:18"
"251","right","2019-04-03 05:55:00.000-0400","2019-04-03 06:05:24.000-0400","624","2019-04-03","05:55:00","06:05:24"
"252","left","2019-04-03 06:30:00.000-0400","2019-04-03 06:40:01.000-0400","601","2019-04-03","06:30:00","06:40:01"
"253","right","2019-04-03 08:50:00.000-0400","2019-04-03 09:10:50.000-0400","1250","2019-04-03","08:50:00","09:10:50"
"254","left","2019-04-03 09:15:00.000-0400","2019-04-03 09:25:02.000-0400","602","2019-04-03","09:15:00","09:25:02"
"255","right","2019-04-03 11:54:00.000-0400","2019-04-03 12:05:59.000-0400","719","2019-04-03","11:54:00","12:05:59"
"256","left","2019-04-03 12:13:00.000-0400","2019-04-03 12:20:11.000-0400","431","2019-04-03","12:13:00","12:20:11"
"257","right","2019-04-03 13:25:00.000-0400","2019-04-03 13:35:37.000-0400","637","2019-04-03","13:25:00","13:35:37"
"258","left","2019-04-03 13:41:00.000-0400","2019-04-03 13:55:53.000-0400","893","2019-04-03","13:41:00","13:55:53"
"259","right","2019-04-03 14:26:00.000-0400","2019-04-03 14:35:44.000-0400","584","2019-04-03","14:26:00","14:35:44"
"260","left","2019-04-03 17:36:00.000-0400","2019-04-03 17:55:47.000-0400","1187","2019-04-03","17:36:00","17:55:47"
"261","right","2019-04-03 18:09:00.000-0400","2019-04-03 18:30:59.000-0400","1319","2019-04-03","18:09:00","18:30:59"
"262","left","2019-04-03 19:52:00.000-0400","2019-04-03 20:05:32.000-0400","812","2019-04-03","19:52:00","20:05:32"
"263","right","2019-04-03 20:11:00.000-0400","2019-04-03 20:25:40.000-0400","880","2019-04-03","20:11:00","20:25:40"
"264","left","2019-04-03 20:55:00.000-0400","2019-04-03 21:15:07.000-0400","1207","2019-04-03","20:55:00","21:15:07"
"265","right","2019-04-03 21:25:00.000-0400","2019-04-03 21:40:39.000-0400","939","2019-04-03","21:25:00","21:40:39"
"266","left","2019-04-03 22:25:00.000-0400","2019-04-03 22:35:32.000-0400","632","2019-04-03","22:25:00","22:35:32"
"267","right","2019-04-04 01:50:00.000-0400","2019-04-04 02:10:28.000-0400","1228","2019-04-04","01:50:00","02:10:28"
"268","left","2019-04-04 02:27:00.000-0400","2019-04-04 02:40:55.000-0400","835","2019-04-04","02:27:00","02:40:55"
"269","right","2019-04-04 05:51:00.000-0400","2019-04-04 06:05:14.000-0400","854","2019-04-04","05:51:00","06:05:14"
"270","left","2019-04-04 06:21:00.000-0400","2019-04-04 06:30:00.000-0400","540","2019-04-04","06:21:00","06:30:00"
"271","left","2019-04-04 08:49:00.000-0400","2019-04-04 09:10:23.000-0400","1283","2019-04-04","08:49:00","09:10:23"
"272","right","2019-04-04 09:36:00.000-0400","2019-04-04 09:45:38.000-0400","578","2019-04-04","09:36:00","09:45:38"
"273","right","2019-04-04 11:31:00.000-0400","2019-04-04 11:40:41.000-0400","581","2019-04-04","11:31:00","11:40:41"
"274","left","2019-04-04 11:45:00.000-0400","2019-04-04 12:00:00.000-0400","900","2019-04-04","11:45:00","12:00:00"
"275","right","2019-04-04 12:30:00.000-0400","2019-04-04 12:45:58.000-0400","958","2019-04-04","12:30:00","12:45:58"
"276","left","2019-04-04 12:50:00.000-0400","2019-04-04 13:00:22.000-0400","622","2019-04-04","12:50:00","13:00:22"
"277","right","2019-04-04 16:01:00.000-0400","2019-04-04 16:15:58.000-0400","898","2019-04-04","16:01:00","16:15:58"
"278","left","2019-04-04 16:20:00.000-0400","2019-04-04 16:35:44.000-0400","944","2019-04-04","16:20:00","16:35:44"
"279","left","2019-04-04 19:38:00.000-0400","2019-04-04 19:55:45.000-0400","1065","2019-04-04","19:38:00","19:55:45"
"280","right","2019-04-04 20:00:00.000-0400","2019-04-04 20:10:13.000-0400","613","2019-04-04","20:00:00","20:10:13"
"281","right","2019-04-04 20:55:00.000-0400","2019-04-04 21:05:41.000-0400","641","2019-04-04","20:55:00","21:05:41"
"282","left","2019-04-04 21:10:00.000-0400","2019-04-04 21:25:36.000-0400","936","2019-04-04","21:10:00","21:25:36"
"283","right","2019-04-04 22:25:00.000-0400","2019-04-04 22:35:32.000-0400","632","2019-04-04","22:25:00","22:35:32"
"284","left","2019-04-04 22:50:00.000-0400","2019-04-04 23:05:05.000-0400","905","2019-04-04","22:50:00","23:05:05"
"285","right","2019-04-05 01:40:00.000-0400","2019-04-05 01:55:05.000-0400","905","2019-04-05","01:40:00","01:55:05"
"286","left","2019-04-05 02:15:00.000-0400","2019-04-05 02:20:51.000-0400","351","2019-04-05","02:15:00","02:20:51"
"287","left","2019-04-05 04:26:00.000-0400","2019-04-05 04:40:41.000-0400","881","2019-04-05","04:26:00","04:40:41"
"288","right","2019-04-05 05:03:00.000-0400","2019-04-05 05:15:29.000-0400","749","2019-04-05","05:03:00","05:15:29"
"289","left","2019-04-05 07:05:00.000-0400","2019-04-05 07:20:16.000-0400","916","2019-04-05","07:05:00","07:20:16"
"290","right","2019-04-05 07:30:00.000-0400","2019-04-05 07:35:00.000-0400","300","2019-04-05","07:30:00","07:35:00"
"291","right","2019-04-05 08:05:00.000-0400","2019-04-05 08:15:52.000-0400","652","2019-04-05","08:05:00","08:15:52"
"292","left","2019-04-05 09:26:00.000-0400","2019-04-05 09:45:59.000-0400","1199","2019-04-05","09:26:00","09:45:59"
"293","right","2019-04-05 11:54:00.000-0400","2019-04-05 12:05:01.000-0400","661","2019-04-05","11:54:00","12:05:01"
"294","left","2019-04-05 12:13:00.000-0400","2019-04-05 12:20:07.000-0400","427","2019-04-05","12:13:00","12:20:07"
"295","left","2019-04-05 12:43:00.000-0400","2019-04-05 12:50:17.000-0400","437","2019-04-05","12:43:00","12:50:17"
"296","right","2019-04-05 13:43:00.000-0400","2019-04-05 14:05:45.000-0400","1365","2019-04-05","13:43:00","14:05:45"
"297","left","2019-04-05 14:15:00.000-0400","2019-04-05 14:30:10.000-0400","910","2019-04-05","14:15:00","14:30:10"
"298","right","2019-04-05 15:31:00.000-0400","2019-04-05 15:40:48.000-0400","588","2019-04-05","15:31:00","15:40:48"
"299","left","2019-04-05 16:20:00.000-0400","2019-04-05 16:35:03.000-0400","903","2019-04-05","16:20:00","16:35:03"
"300","right","2019-04-05 17:15:00.000-0400","2019-04-05 17:35:06.000-0400","1206","2019-04-05","17:15:00","17:35:06"
"301","left","2019-04-05 20:25:00.000-0400","2019-04-05 20:45:38.000-0400","1238","2019-04-05","20:25:00","20:45:38"
"302","right","2019-04-05 21:49:00.000-0400","2019-04-05 21:55:03.000-0400","363","2019-04-05","21:49:00","21:55:03"
"303","right","2019-04-05 22:35:00.000-0400","2019-04-05 22:45:33.000-0400","633","2019-04-05","22:35:00","22:45:33"
"304","left","2019-04-06 00:40:00.000-0400","2019-04-06 00:50:29.000-0400","629","2019-04-06","00:40:00","00:50:29"
"305","right","2019-04-06 01:06:00.000-0400","2019-04-06 01:20:00.000-0400","840","2019-04-06","01:06:00","01:20:00"
"306","left","2019-04-06 04:03:00.000-0400","2019-04-06 04:15:28.000-0400","748","2019-04-06","04:03:00","04:15:28"
"307","right","2019-04-06 04:22:00.000-0400","2019-04-06 04:35:59.000-0400","839","2019-04-06","04:22:00","04:35:59"
"308","left","2019-04-06 05:40:00.000-0400","2019-04-06 05:50:22.000-0400","622","2019-04-06","05:40:00","05:50:22"
"309","right","2019-04-06 08:24:00.000-0400","2019-04-06 08:40:52.000-0400","1012","2019-04-06","08:24:00","08:40:52"
"310","left","2019-04-06 08:59:00.000-0400","2019-04-06 09:10:36.000-0400","696","2019-04-06","08:59:00","09:10:36"
"311","right","2019-04-06 11:51:00.000-0400","2019-04-06 12:15:46.000-0400","1486","2019-04-06","11:51:00","12:15:46"
"312","left","2019-04-06 14:25:00.000-0400","2019-04-06 14:35:13.000-0400","613","2019-04-06","14:25:00","14:35:13"
"313","right","2019-04-06 16:25:00.000-0400","2019-04-06 16:40:48.000-0400","948","2019-04-06","16:25:00","16:40:48"
"314","left","2019-04-06 18:26:00.000-0400","2019-04-06 18:40:28.000-0400","868","2019-04-06","18:26:00","18:40:28"
"315","right","2019-04-06 18:56:00.000-0400","2019-04-06 19:05:32.000-0400","572","2019-04-06","18:56:00","19:05:32"
"316","left","2019-04-06 19:40:00.000-0400","2019-04-06 19:55:09.000-0400","909","2019-04-06","19:40:00","19:55:09"
"317","right","2019-04-06 21:01:00.000-0400","2019-04-06 21:15:08.000-0400","848","2019-04-06","21:01:00","21:15:08"
"318","left","2019-04-06 21:25:00.000-0400","2019-04-06 21:35:44.000-0400","644","2019-04-06","21:25:00","21:35:44"
"319","right","2019-04-06 22:12:00.000-0400","2019-04-06 22:20:52.000-0400","532","2019-04-06","22:12:00","22:20:52"
"320","left","2019-04-06 23:55:00.000-0400","2019-04-07 00:10:34.000-0400","934","2019-04-06","23:55:00","00:10:34"
"321","right","2019-04-07 02:13:00.000-0400","2019-04-07 02:30:50.000-0400","1070","2019-04-07","02:13:00","02:30:50"
"322","left","2019-04-07 02:50:00.000-0400","2019-04-07 03:00:29.000-0400","629","2019-04-07","02:50:00","03:00:29"
"323","left","2019-04-07 05:00:00.000-0400","2019-04-07 05:10:00.000-0400","600","2019-04-07","05:00:00","05:10:00"
"324","right","2019-04-07 07:21:00.000-0400","2019-04-07 07:40:38.000-0400","1178","2019-04-07","07:21:00","07:40:38"
"325","left","2019-04-07 07:48:00.000-0400","2019-04-07 08:00:47.000-0400","767","2019-04-07","07:48:00","08:00:47"
"326","left","2019-04-07 09:33:00.000-0400","2019-04-07 09:45:15.000-0400","735","2019-04-07","09:33:00","09:45:15"
"327","right","2019-04-07 09:50:00.000-0400","2019-04-07 10:00:13.000-0400","613","2019-04-07","09:50:00","10:00:13"
"328","right","2019-04-07 12:54:00.000-0400","2019-04-07 13:10:25.000-0400","985","2019-04-07","12:54:00","13:10:25"
"329","left","2019-04-07 13:15:00.000-0400","2019-04-07 13:30:17.000-0400","917","2019-04-07","13:15:00","13:30:17"
"330","right","2019-04-07 15:00:00.000-0400","2019-04-07 15:10:20.000-0400","620","2019-04-07","15:00:00","15:10:20"
"331","left","2019-04-07 15:27:00.000-0400","2019-04-07 15:35:54.000-0400","534","2019-04-07","15:27:00","15:35:54"
"332","left","2019-04-07 16:03:00.000-0400","2019-04-07 16:15:23.000-0400","743","2019-04-07","16:03:00","16:15:23"
"333","right","2019-04-07 19:10:00.000-0400","2019-04-07 19:25:12.000-0400","912","2019-04-07","19:10:00","19:25:12"
"334","left","2019-04-07 19:40:00.000-0400","2019-04-07 19:50:27.000-0400","627","2019-04-07","19:40:00","19:50:27"
"335","left","2019-04-07 20:30:00.000-0400","2019-04-07 20:45:45.000-0400","945","2019-04-07","20:30:00","20:45:45"
"336","right","2019-04-07 21:00:00.000-0400","2019-04-07 21:10:49.000-0400","649","2019-04-07","21:00:00","21:10:49"
"337","left","2019-04-07 22:11:00.000-0400","2019-04-07 22:20:59.000-0400","599","2019-04-07","22:11:00","22:20:59"
"338","right","2019-04-07 22:41:00.000-0400","2019-04-07 22:50:15.000-0400","555","2019-04-07","22:41:00","22:50:15"
"339","left","2019-04-08 01:32:00.000-0400","2019-04-08 01:45:43.000-0400","823","2019-04-08","01:32:00","01:45:43"
"340","right","2019-04-08 01:58:00.000-0400","2019-04-08 02:05:10.000-0400","430","2019-04-08","01:58:00","02:05:10"
"341","left","2019-04-08 04:25:00.000-0400","2019-04-08 04:45:00.000-0400","1200","2019-04-08","04:25:00","04:45:00"
"342","right","2019-04-08 05:03:00.000-0400","2019-04-08 05:10:38.000-0400","458","2019-04-08","05:03:00","05:10:38"
"343","right","2019-04-08 07:55:00.000-0400","2019-04-08 08:15:44.000-0400","1244","2019-04-08","07:55:00","08:15:44"
"344","left","2019-04-08 08:30:00.000-0400","2019-04-08 08:40:32.000-0400","632","2019-04-08","08:30:00","08:40:32"
"345","left","2019-04-08 09:20:00.000-0400","2019-04-08 09:25:36.000-0400","336","2019-04-08","09:20:00","09:25:36"
